Event.Date,Make,Model,Aircraft.Type,Total.Passengers,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Fatal.Serious.Injury.Fraction,Aircraft.Destroyed_Clean,Number.of.Engines,Engine.Type,Weather.Condition,Purpose.of.flight,Broad.phase.of.flight
2012-06-24,DEHAVILLAND,TIGER MOTH DH 82A,DEHAVILLAND TIGER MOTH DH 82A,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-24,CESSNA,182,CESSNA 182,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,VMC,Skydiving,Unknown
2012-06-24,PIPER,PA-28-235,PIPER PA-28-235,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-25,SOCATA,TB21,SOCATA TB21,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,IMC,Personal,Unknown
2012-06-25,PIPER,PA-32-300,PIPER PA-32-300,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Reciprocating,VMC,Unknown,Unknown
2012-06-25,STINSON,108-2,STINSON 108-2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-26,BOEING,B75N1,BOEING B75N1,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-26,PIPER,PA-28-161,PIPER PA-28-161,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-26,CESSNA,172S,CESSNA 172S,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-27,CESSNA,172M,CESSNA 172M,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-27,TAYLORCRAFT,BC12-D,TAYLORCRAFT BC12-D,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-27,BEECH,A36,BEECH A36,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-28,PIPER,PA-23,PIPER PA-23,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Reciprocating,VMC,Personal,Unknown
2012-06-28,MOONEY,M20J,MOONEY M20J,2.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-06-28,CESSNA,182A,CESSNA 182A,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Skydiving,Unknown
2012-06-28,PIPER,PA-32-301,PIPER PA-32-301,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Unknown,Unknown
2012-06-29,CESSNA,182K,CESSNA 182K,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-29,PIPER,PA-28-140,PIPER PA-28-140,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-30,PIPER,PA-31P,PIPER PA-31P,1.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,Reciprocating,VMC,Personal,Unknown
2012-06-30,STINSON,108,STINSON 108,4.0,0.0,3.0,1.0,0.0,0.6,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-30,CESSNA,172S,CESSNA 172S,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-30,DEHAVILLAND,BEAVER DHC-2 MK.1,DEHAVILLAND BEAVER DHC-2 MK.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-06-30,TAYLORCRAFT,BC12-D,TAYLORCRAFT BC12-D,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-01,PIPER,PA-24,PIPER PA-24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-01,BEECH,58,BEECH 58,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Reciprocating,VMC,Personal,Unknown
2012-07-01,CESSNA,172M,CESSNA 172M,2.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-01,CESSNA,R172K,CESSNA R172K,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-02,CESSNA,210-5,CESSNA 210-5,2.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-02,DEHAVILLAND,BEAVER DHC-2,DEHAVILLAND BEAVER DHC-2,6.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,Reciprocating,VMC,Unknown,Unknown
2012-07-03,BOEING,767-323,BOEING 767-323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Turbo Fan,,Unknown,Unknown
2012-07-03,PIPER,PA-18A 150,PIPER PA-18A 150,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-03,PIPER,PA-22-160,PIPER PA-22-160,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-04,PIPER,PA-12,PIPER PA-12,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-04,PIPER,PA-18-180,PIPER PA-18-180,2.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-07-04,CESSNA,172K,CESSNA 172K,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-05,PIPER,PA-28RT-201,PIPER PA-28RT-201,2.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-05,BOEING,777-222,BOEING 777-222,256.0,0.0,3.0,1.0,252.0,0.011673151750972763,0.0,2.0,Turbo Fan,,Unknown,Unknown
2012-07-06,CESSNA,207A,CESSNA 207A,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Positioning,Unknown
2012-07-06,BELLANCA,17-30,BELLANCA 17-30,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-06,CESSNA,T182T,CESSNA T182T,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-06,PIPER,PA-18-150,PIPER PA-18-150,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-06,BELLANCA,7GCBC,BELLANCA 7GCBC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-06,PIPER,PA-12,PIPER PA-12,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-06,PIPER,PA-46-350P,PIPER PA-46-350P,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-07,BEECH,E90,BEECH E90,1.0,1.0,0.0,0.0,0.0,0.5,1.0,2.0,Turbo Prop,VMC,Positioning,Unknown
2012-07-07,GRUMMAN,G-164A,GRUMMAN G-164A,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Aerial Application,Unknown
2012-07-08,PIPER,PA-32R-300,PIPER PA-32R-300,3.0,3.0,0.0,0.0,0.0,0.75,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-08,BELLANCA,7GCAA,BELLANCA 7GCAA,2.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-08,DEHAVILLAND,DHC-2,DEHAVILLAND DHC-2,8.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,Turbo Prop,VMC,Unknown,Unknown
2012-07-09,MOONEY,M20L,MOONEY M20L,2.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-07-09,PIPER,PA-42,PIPER PA-42,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Turbo Prop,IMC,Personal,Unknown
2012-07-09,BOEING,747,BOEING 747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Unknown,,Unknown,Unknown
2012-07-09,CESSNA,190,CESSNA 190,2.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-09,BELLANCA,7KCAB,BELLANCA 7KCAB,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Business,Unknown
2012-07-09,CESSNA,172S,CESSNA 172S,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-07-09,BEECH,A36,BEECH A36,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-09,CESSNA,208,CESSNA 208,4.0,1.0,0.0,2.0,1.0,0.2,0.0,1.0,Unknown,VMC,Skydiving,Unknown
2012-07-10,CESSNA,A188B,CESSNA A188B,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Reciprocating,VMC,Aerial Application,Unknown
2012-07-10,PIPER,PA-28-236,PIPER PA-28-236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-10,CESSNA,172S,CESSNA 172S,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-07-10,BEECH,58,BEECH 58,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,Reciprocating,VMC,Personal,Unknown
2012-07-10,PIPER,PA36,PIPER PA36,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,Unknown,,Aerial Application,Unknown
2012-07-10,CESSNA,177,CESSNA 177,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-10,MAULE,M-4,MAULE M-4,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-10,CESSNA,172M,CESSNA 172M,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-11,CIRRUS DESIGN CORP,SR20,CIRRUS DESIGN CORP SR20,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,IMC,Personal,Unknown
2012-07-11,CESSNA,U206G,CESSNA U206G,5.0,1.0,4.0,0.0,0.0,0.8333333333333334,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-11,PIPER,PA-18-150,PIPER PA-18-150,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-11,CESSNA,170,CESSNA 170,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Reciprocating,VMC,Ferry,Unknown
2012-07-11,PIPER,PA-28-140,PIPER PA-28-140,2.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,Reciprocating,VMC,Instructional,Unknown
2012-07-11,PIPER,PA34,PIPER PA34,1.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0,Reciprocating,,Unknown,Unknown
2012-07-12,PIPER,PA-25-235,PIPER PA-25-235,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Aerial Application,Unknown
2012-07-12,CESSNA,T210L,CESSNA T210L,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Reciprocating,VMC,Personal,Unknown
2012-07-13,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164A,GRUMMAN ACFT ENG COR-SCHWEIZER G-164A,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,Reciprocating,VMC,Aerial Application,Unknown
